"res_og_node_name","con_og_node_name"
"Peronochaeta dubia","Perspicaris dictynna"
"Stephanoscolex argutus","Perspicaris dictynna"
"Aluta? sp.","Perspicaris dictynna"
"Ancalagon minor","Perspicaris dictynna"
"Fieldia lanceolata","Perspicaris dictynna"
"Selkirkia columbia","Perspicaris dictynna"
"""Ottoia"" tenuis","Perspicaris dictynna"
"Oesia disjuncta","Perspicaris dictynna"
"Portalia mira","Perspicaris dictynna"
"Haplophrentis carinatus","Perspicaris recondita"
"Scenella amii","Perspicaris recondita"
"Burgessochaeta setigera","Perspicaris recondita"
"Canadia spinosa","Perspicaris recondita"
"Peronochaeta dubia","Perspicaris recondita"
"Stephanoscolex argutus","Perspicaris recondita"
"Aluta? sp.","Perspicaris recondita"
"Ancalagon minor","Perspicaris recondita"
"Fieldia lanceolata","Perspicaris recondita"
"Selkirkia columbia","Perspicaris recondita"
"""Ottoia"" tenuis","Perspicaris recondita"
"Oesia disjuncta","Perspicaris recondita"
"Portalia mira","Perspicaris recondita"
"zooplankton","Priscansermarius barnetti"
"Haplophrentis carinatus","Sanctacaris uncata"
"Scenella amii","Sanctacaris uncata"
"Burgessochaeta setigera","Sanctacaris uncata"
"Canadia spinosa","Sanctacaris uncata"
"Peronochaeta dubia","Sanctacaris uncata"
"Stephanoscolex argutus","Sanctacaris uncata"
"Aluta? sp.","Sanctacaris uncata"
"Burgessia bella","Sanctacaris uncata"
"Canadaspis ovalis","Sanctacaris uncata"
"Canadaspis perfecta","Sanctacaris uncata"
"Emeraldella bocki","Sanctacaris uncata"
"Habelia brevicauda","Sanctacaris uncata"
"Habelia optata","Sanctacaris uncata"
"Helmetia expansa","Sanctacaris uncata"
"Leanchoilia superlata","Sanctacaris uncata"
"Molaria spinifera","Sanctacaris uncata"
"Naraoia compacta","Sanctacaris uncata"
"Odaraia alata","Sanctacaris uncata"
"Perspicaris dictynna","Sanctacaris uncata"
"Perspicaris recondita","Sanctacaris uncata"
"Sanctacaris uncata","Sanctacaris uncata"
"Sidneyia inexpectans","Sanctacaris uncata"
"Tuzoia burgessensis","Sanctacaris uncata"
"Tuzoia canadensis","Sanctacaris uncata"
"Tuzoia? parva","Sanctacaris uncata"
"Tuzoia praemorsa","Sanctacaris uncata"
"Tuzoia retifera","Sanctacaris uncata"
"Waptia fieldensis","Sanctacaris uncata"
"Yohoia tenuis","Sanctacaris uncata"
"Chancia palliseri","Sanctacaris uncata"
"Ehmaniella burgessensis","Sanctacaris uncata"
"Ehmaniella waptaensis","Sanctacaris uncata"
"Elrathia permulta","Sanctacaris uncata"
"Elrathina brevifrons","Sanctacaris uncata"
"Elrathina crodillerae","Sanctacaris uncata"
"Olenoides serratus","Sanctacaris uncata"
"Oryctocephalus burgessensis","Sanctacaris uncata"
"Oryctocephalus matthewi","Sanctacaris uncata"
"Oryctoecphalus reynoldsi","Sanctacaris uncata"
"Pagetia bootes","Sanctacaris uncata"
"Parkaspis decamera","Sanctacaris uncata"
"Peronopsis montis","Sanctacaris uncata"
"Ptychagnostus praecurrens","Sanctacaris uncata"
"Hurdia dentata","Sanctacaris uncata"
"Hurdia triangulata","Sanctacaris uncata"
"Ancalagon minor","Sanctacaris uncata"
"Fieldia lanceolata","Sanctacaris uncata"
"Selkirkia columbia","Sanctacaris uncata"
"Eldonia ludwigi","Sanctacaris uncata"
"Echmatocrinus brachiatus","Sanctacaris uncata"
"Gogia radiata","Sanctacaris uncata"
"Walcottidiscus magister","Sanctacaris uncata"
"Walcottidiscus typicalis","Sanctacaris uncata"
"""Ottoia"" tenuis","Sanctacaris uncata"
"Oesia disjuncta","Sanctacaris uncata"
"Portalia mira","Sanctacaris uncata"
"Haplophrentis carinatus","Tuzoia burgessensis"
"Scenella amii","Tuzoia burgessensis"
"Burgessochaeta setigera","Tuzoia burgessensis"
"Canadia spinosa","Tuzoia burgessensis"
"Peronochaeta dubia","Tuzoia burgessensis"
"Stephanoscolex argutus","Tuzoia burgessensis"
"Aluta? sp.","Tuzoia burgessensis"
"Ancalagon minor","Tuzoia burgessensis"
"Fieldia lanceolata","Tuzoia burgessensis"
"Selkirkia columbia","Tuzoia burgessensis"
"""Ottoia"" tenuis","Tuzoia burgessensis"
"Oesia disjuncta","Tuzoia burgessensis"
"Portalia mira","Tuzoia burgessensis"
"Haplophrentis carinatus","Tuzoia canadensis"
"Scenella amii","Tuzoia canadensis"
"Burgessochaeta setigera","Tuzoia canadensis"
"Canadia spinosa","Tuzoia canadensis"
"Peronochaeta dubia","Tuzoia canadensis"
"Stephanoscolex argutus","Tuzoia canadensis"
"Aluta? sp.","Tuzoia canadensis"
"Ancalagon minor","Tuzoia canadensis"
"Fieldia lanceolata","Tuzoia canadensis"
"Selkirkia columbia","Tuzoia canadensis"
"""Ottoia"" tenuis","Tuzoia canadensis"
"Oesia disjuncta","Tuzoia canadensis"
"Portalia mira","Tuzoia canadensis"
"Haplophrentis carinatus","Tuzoia? parva"
"Scenella amii","Tuzoia? parva"
"Burgessochaeta setigera","Tuzoia? parva"
"Canadia spinosa","Tuzoia? parva"
"Peronochaeta dubia","Tuzoia? parva"
"Stephanoscolex argutus","Tuzoia? parva"
"Aluta? sp.","Tuzoia? parva"
"Ancalagon minor","Tuzoia? parva"
"Fieldia lanceolata","Tuzoia? parva"
"Selkirkia columbia","Tuzoia? parva"
"""Ottoia"" tenuis","Tuzoia? parva"
"Oesia disjuncta","Tuzoia? parva"
"Portalia mira","Tuzoia? parva"
"Haplophrentis carinatus","Tuzoia praemorsa"
"Scenella amii","Tuzoia praemorsa"
"Burgessochaeta setigera","Tuzoia praemorsa"
"Canadia spinosa","Tuzoia praemorsa"
"Peronochaeta dubia","Tuzoia praemorsa"
"Stephanoscolex argutus","Tuzoia praemorsa"
"Aluta? sp.","Tuzoia praemorsa"
"Ancalagon minor","Tuzoia praemorsa"
"Fieldia lanceolata","Tuzoia praemorsa"
"Selkirkia columbia","Tuzoia praemorsa"
"""Ottoia"" tenuis","Tuzoia praemorsa"
"Oesia disjuncta","Tuzoia praemorsa"
"Portalia mira","Tuzoia praemorsa"
"Haplophrentis carinatus","Tuzoia retifera"
"Scenella amii","Tuzoia retifera"
"Burgessochaeta setigera","Tuzoia retifera"
"Canadia spinosa","Tuzoia retifera"
"Peronochaeta dubia","Tuzoia retifera"
"Stephanoscolex argutus","Tuzoia retifera"
"Aluta? sp.","Tuzoia retifera"
"Ancalagon minor","Tuzoia retifera"
"Fieldia lanceolata","Tuzoia retifera"
"Selkirkia columbia","Tuzoia retifera"
"""Ottoia"" tenuis","Tuzoia retifera"
"Oesia disjuncta","Tuzoia retifera"
"Portalia mira","Tuzoia retifera"
"Haplophrentis carinatus","Waptia fieldensis"
"Scenella amii","Waptia fieldensis"
"Burgessochaeta setigera","Waptia fieldensis"
"Canadia spinosa","Waptia fieldensis"
"Peronochaeta dubia","Waptia fieldensis"
"Stephanoscolex argutus","Waptia fieldensis"
"Aluta? sp.","Waptia fieldensis"
"Ancalagon minor","Waptia fieldensis"
"Fieldia lanceolata","Waptia fieldensis"
"Selkirkia columbia","Waptia fieldensis"
"""Ottoia"" tenuis","Waptia fieldensis"
"Oesia disjuncta","Waptia fieldensis"
"Portalia mira","Waptia fieldensis"
"Haplophrentis carinatus","Yohoia tenuis"
"Scenella amii","Yohoia tenuis"
"Burgessochaeta setigera","Yohoia tenuis"
"Canadia spinosa","Yohoia tenuis"
"Peronochaeta dubia","Yohoia tenuis"
"Stephanoscolex argutus","Yohoia tenuis"
"Aluta? sp.","Yohoia tenuis"
"Ancalagon minor","Yohoia tenuis"
"Fieldia lanceolata","Yohoia tenuis"
"Selkirkia columbia","Yohoia tenuis"
"""Ottoia"" tenuis","Yohoia tenuis"
"Oesia disjuncta","Yohoia tenuis"
"Portalia mira","Yohoia tenuis"
"detritus","Chancia palliseri"
"detritus","Ehmaniella burgessensis"
"detritus","Ehmaniella waptaensis"
"detritus","Elrathia permulta"
"detritus","Elrathina brevifrons"
"detritus","Elrathina crodillerae"
"Burgessochaeta setigera","Olenoides serratus"
"Canadia spinosa","Olenoides serratus"
"Peronochaeta dubia","Olenoides serratus"
"Stephanoscolex argutus","Olenoides serratus"
"Aysheaia pedunculata","Olenoides serratus"
"Hallucigenia sparsa","Olenoides serratus"
"Aluta? sp.","Olenoides serratus"
"Molaria spinifera","Olenoides serratus"
"Fieldia lanceolata","Olenoides serratus"
