"res_sp","con_sp"
"Littorina saxatilis","Paroediceros lynceus"
"Diastylis goodsiri","Paroediceros lynceus"
"Diastylis lucifera","Paroediceros lynceus"
"Diastylis rathkii","Paroediceros lynceus"
"Ischyrocerus anguipes","Paroediceros lynceus"
"Janira","Paroediceros lynceus"
"Lamprops fuscatus","Paroediceros lynceus"
"Melita dentata","Paroediceros lynceus"
"Melita formosa","Paroediceros lynceus"
"Melita palmata","Paroediceros lynceus"
"Munna","Paroediceros lynceus"
"Phytodetritus","Paroediceros lynceus"
"Sediment","Paroediceros lynceus"
"Neoscolecithrix farrani","Pleustes panoplus"
"Laminaria saccharina","Pleustes panoplus"
"Laminaria digitata","Pleustes panoplus"
"Littorina saxatilis","Pleustes panoplus"
"Ischyroceros","Pleustes panoplus"
"Gammarus setosus","Pleustes panoplus"
"Diastylis goodsiri","Pleustes panoplus"
"Diastylis lucifera","Pleustes panoplus"
"Diastylis rathkii","Pleustes panoplus"
"Phytodetritus","Pleustes panoplus"
"Sediment","Pleustes panoplus"
"Phytodetritus","Pleusymtes glabroides"
"Sediment","Pleusymtes glabroides"
"Phytodetritus","Pontoporeia femorata"
"Sediment","Pontoporeia femorata"
"Phytodetritus","Rhachotropis inflata"
"Sediment","Rhachotropis inflata"
"Phytodetritus","Spirontocaris spinus"
"Sediment","Spirontocaris turgida"
"Phytodetritus","Stilomysis grandis"
"Sediment","Syrrhoe crenulata"
"Phytodetritus","Tanaidacea"
"Sediment","Tanaidacea"
"Phytodetritus","Unciola leucopis"
"Sediment","Unciola leucopis"
"Phytodetritus","Weyprechtia pinguis"
"Sediment","Weyprechtia pinguis"
"POM","Haliclona"
"Phytodetritus","Haliclona"
"Aglaophamus malmgreni","Aglaophamus malmgreni"
"Ampharete finmarchica","Aglaophamus malmgreni"
"Heteromastus filiformis","Aglaophamus malmgreni"
"Leitoscoloplos mammosus","Aglaophamus malmgreni"
"Levinsenia gracilis","Aglaophamus malmgreni"
"Lumbrineris","Aglaophamus malmgreni"
"Lysippe labiata","Aglaophamus malmgreni"
"Nephtys ciliata","Aglaophamus malmgreni"
"Nereimyra punctata","Aglaophamus malmgreni"
"Nereis zonata","Aglaophamus malmgreni"
"Pholoe assimilis","Aglaophamus malmgreni"
"Phyllodoce","Aglaophamus malmgreni"
"Priapulus caudatus","Aglaophamus malmgreni"
"Sipunculida","Aglaophamus malmgreni"
"Philine","Aglaophamus malmgreni"
"Phytodetritus","Aglaophamus malmgreni"
"Sediment","Aglaophamus malmgreni"
"Phytodetritus","Ampharete finmarchica"
"Sediment","Ampharete finmarchica"
"Phytodetritus","Brada inhabilis"
"Sediment","Brada inhabilis"
"Phytodetritus","Brada villosa"
"Sediment","Brada villosa"
"Phytodetritus","Bylgides elegans"
"Sediment","Bylgides elegans"
"Phytodetritus","Bylgides groenlandica"
"Sediment","Bylgides groenlandica"
"Phytodetritus","Capitella capitata"
"Sediment","Capitella capitata"
"Phytodetritus","Chaetozone"
"Sediment","Chaetozone"
"Phytodetritus","Chone"
"Sediment","Chone"
"Phytodetritus","Circeis"
"Sediment","Circeis"
"Phytodetritus","Cossura longocirrata"
"Sediment","Cossura longocirrata"
"Phytodetritus","Diplocirrus hirsutus"
"Sediment","Diplocirrus hirsutus"
"Phytodetritus","Eteone"
"Sediment","Eteone"
"Phytodetritus","Euchone"
"Sediment","Euchone"
"Janira","Gattyana cirrhosa"
"Tanaidacea","Gattyana cirrhosa"
"Haliclona","Gattyana cirrhosa"
"Phyllodoce","Gattyana cirrhosa"
"Priapulus caudatus","Gattyana cirrhosa"
"Sipunculida","Gattyana cirrhosa"
"Philine","Gattyana cirrhosa"
"Styela rustica","Gattyana cirrhosa"
"Halocynthia pyriformis","Gattyana cirrhosa"
"Urticina eques","Gattyana cirrhosa"
"Hormathia nodosa","Gattyana cirrhosa"
"Phytodetritus","Gattyana cirrhosa"
"Sediment","Gattyana cirrhosa"
"Janira","Glycera capitata"
"Tanaidacea","Glycera capitata"
"Haliclona","Glycera capitata"
"Eteone","Glycera capitata"
"Phyllodoce","Glycera capitata"
"Priapulus caudatus","Glycera capitata"
"Sipunculida","Glycera capitata"
"Philine","Glycera capitata"
"Phytodetritus","Glycera capitata"
"Sediment","Glycera capitata"
"Tanaidacea","Harmothoe imbricata"
"Haliclona","Harmothoe imbricata"
"Harmothoe imbricata","Harmothoe imbricata"
"Phyllodoce","Harmothoe imbricata"
"Priapulus caudatus","Harmothoe imbricata"
"Sipunculida","Harmothoe imbricata"
"Philine","Harmothoe imbricata"
"Phytodetritus","Harmothoe imbricata"
"Sediment","Harmothoe imbricata"
"Phytodetritus","Heteromastus filiformis"
"Sediment","Heteromastus filiformis"
"Phytodetritus","Leitoscoloplos mammosus"
"Sediment","Leitoscoloplos mammosus"
"Phytodetritus","Levinsenia gracilis"
"Sediment","Levinsenia gracilis"
"Phytodetritus","Lumbrineris"
"Phytodetritus","Lysippe labiata"
"Sediment","Lysippe labiata"
"Phytodetritus","Nephtys ciliata"
"Phytodetritus","Nereimyra punctata"
"Sediment","Nereimyra punctata"
"Tanaidacea","Nereis zonata"
"Haliclona","Nereis zonata"
"Harmothoe imbricata","Nereis zonata"
"Nereis zonata","Nereis zonata"
"Phyllodoce","Nereis zonata"
"Priapulus caudatus","Nereis zonata"
"Sipunculida","Nereis zonata"
"Philine","Nereis zonata"
"Phytodetritus","Nereis zonata"
"Sediment","Nereis zonata"
"Phytodetritus","Pholoe assimilis"
"Sediment","Pholoe assimilis"
"Phytodetritus","Phyllodoce"
"Sediment","Phyllodoce"
"Phytodetritus","Polydora"
"Sediment","Polydora"
"Phytodetritus","Prionospio cirrifera"
"Sediment","Prionospio cirrifera"
"Phytodetritus","Sabellides octocirrata"
"Sediment","Sabellides octocirrata"
"Phytodetritus","Samytha sexcirrata"
"Sediment","Samytha sexcirrata"
"Phytodetritus","Scoletoma fragilis"
"Sediment","Scoletoma fragilis"
"Phytodetritus","Scoloplos armiger"
"Sediment","Scoloplos armiger"
"Phytodetritus","Spio"
"Sediment","Spio"
"Phytodetritus","Terebellides stroemi"
"Sediment","Terebellides stroemi"
"Phytodetritus","Thelepus cincinnatus"
"Sediment","Thelepus cincinnatus"
"POM","Halicryptus spinulosus"
"Phytodetritus","Halicryptus spinulosus"
"Sediment","Halicryptus spinulosus"
"POM","Priapulus caudatus"
"Phytodetritus","Priapulus caudatus"
"Sediment","Priapulus caudatus"
"Phytodetritus","Sipunculida"
"Sediment","Sipunculida"
"Glycera capitata","Pycnogonida"
"Harmothoe imbricata","Pycnogonida"
"Heteromastus filiformis","Pycnogonida"
"Leitoscoloplos mammosus","Pycnogonida"
"Levinsenia gracilis","Pycnogonida"
"Lumbrineris","Pycnogonida"
"Lysippe labiata","Pycnogonida"
"Nephtys ciliata","Pycnogonida"
"Nereimyra punctata","Pycnogonida"
"Nereis zonata","Pycnogonida"
"Boreocingula castanea","Pycnogonida"
"Boreotrophon truncatus","Pycnogonida"
"Buccinum scalariforme","Pycnogonida"
"Buccinum terranovae","Pycnogonida"
"Buccinum undatum","Pycnogonida"
"Cylichna cf. alba","Pycnogonida"
"Cylichna cf. oculata","Pycnogonida"
"Elachisina globuloides","Pycnogonida"
"Erginus rubellus","Pycnogonida"
"Euspira pallida","Pycnogonida"
"Frigidoalvania cruenta","Pycnogonida"
"Lepeta caeca","Pycnogonida"
"Margarites groenlandicus","Pycnogonida"
"Margarites helicinus","Pycnogonida"
"Menestho albula","Pycnogonida"
"Menestho truncatula","Pycnogonida"
"Oenopota impressa","Pycnogonida"
"Philine","Pycnogonida"
"Puncturella noachina","Pycnogonida"
"Retusa obtusata","Pycnogonida"
"Solariella varicosa","Pycnogonida"
"Phytodetritus","Chaetoderma"
"Sediment","Chaetoderma"
"Fucus distichus","Tonicella marmorea"
"Pylaiella littoralis","Tonicella marmorea"
"Chordaria flagelliformis","Tonicella marmorea"
"Acrosiphonia","Tonicella marmorea"
"Alaria esculenta","Tonicella marmorea"
"Laminaria saccharina","Tonicella marmorea"
"Laminaria digitata","Tonicella marmorea"
"Saccorhiza dermatodea","Tonicella marmorea"
"Laminaria solidungula","Tonicella marmorea"
"Phycodrys rubens","Tonicella marmorea"
"Ptilta gunneri","Tonicella marmorea"
"Fimbrifolium dichotomum","Tonicella marmorea"
"Desmarestia aculeata","Tonicella marmorea"
"Palmaria palmata","Tonicella marmorea"
"Devaleraea ramentacea","Tonicella marmorea"
"Turnerella pennyi","Tonicella marmorea"
"Desmarestia viridis","Tonicella marmorea"
"Phytodetritus","Tonicella marmorea"
"Sediment","Tonicella marmorea"
"Fucus distichus","Tonicella rubra"
"Pylaiella littoralis","Tonicella rubra"
"Chordaria flagelliformis","Tonicella rubra"
"Acrosiphonia","Tonicella rubra"
"Alaria esculenta","Tonicella rubra"
"Laminaria saccharina","Tonicella rubra"
"Laminaria digitata","Tonicella rubra"
"Saccorhiza dermatodea","Tonicella rubra"
"Laminaria solidungula","Tonicella rubra"
"Phycodrys rubens","Tonicella rubra"
"Ptilta gunneri","Tonicella rubra"
"Fimbrifolium dichotomum","Tonicella rubra"
"Desmarestia aculeata","Tonicella rubra"
"Palmaria palmata","Tonicella rubra"
"Devaleraea ramentacea","Tonicella rubra"
"Turnerella pennyi","Tonicella rubra"
"Desmarestia viridis","Tonicella rubra"
"Sediment","Tonicella rubra"
"Phytodetritus","Boreocingula castanea"
"Sediment","Boreocingula castanea"
