"con_number","consumer_sp","res_number","resource_sp","certainty"
"101","odaraia alata","70","peronochaeta dubia","1"
"101","odaraia alata","71","stephanoscolex argutus","1"
"101","odaraia alata","83","aluta sp. (?)","1"
"101","odaraia alata","142","ancalagon minor","1"
"101","odaraia alata","143","fieldia lanceolata","1"
"101","odaraia alata","146","selkirkia columbia","1"
"101","odaraia alata","153","""ottoia"" tenuis","1"
"101","odaraia alata","162","oesia disjuncta","1"
"101","odaraia alata","166","portalia mira","1"
"102","perspicaris dictynna","65","haplophrentis carinatus","2"
"102","perspicaris dictynna","66","scenella amii","2"
"102","perspicaris dictynna","67","burgessochaeta setigera","2"
"102","perspicaris dictynna","68","canadia spinosa","2"
"102","perspicaris dictynna","70","peronochaeta dubia","2"
"102","perspicaris dictynna","71","stephanoscolex argutus","2"
"102","perspicaris dictynna","83","aluta? sp.","2"
"102","perspicaris dictynna","142","ancalagon minor","2"
"102","perspicaris dictynna","143","fieldia lanceolata","2"
"102","perspicaris dictynna","146","selkirkia columbia","2"
"102","perspicaris dictynna","153","""ottoia"" tenuis","2"
"102","perspicaris dictynna","162","oesia disjuncta","2"
"102","perspicaris dictynna","166","portalia mira","2"
"103","perspicaris recondita","65","haplophrentis carinatus","2"
"103","perspicaris recondita","66","scenella amii","2"
"103","perspicaris recondita","67","burgessochaeta setigera","2"
"103","perspicaris recondita","68","canadia spinosa","2"
"103","perspicaris recondita","70","peronochaeta dubia","2"
"103","perspicaris recondita","71","stephanoscolex argutus","2"
"103","perspicaris recondita","83","aluta? sp.","2"
"103","perspicaris recondita","142","ancalagon minor","2"
"103","perspicaris recondita","143","fieldia lanceolata","2"
"103","perspicaris recondita","146","selkirkia columbia","2"
"103","perspicaris recondita","153","""ottoia"" tenuis","2"
"103","perspicaris recondita","162","oesia disjuncta","2"
"103","perspicaris recondita","166","portalia mira","2"
"104","priscansermarius barnetti","25","zooplankton","2"
"105","sanctacaris uncata","65","haplophrentis carinatus","2"
"105","sanctacaris uncata","66","scenella amii","2"
"105","sanctacaris uncata","67","burgessochaeta setigera","2"
"105","sanctacaris uncata","68","canadia spinosa","2"
"105","sanctacaris uncata","70","peronochaeta dubia","2"
"105","sanctacaris uncata","71","stephanoscolex argutus","2"
"105","sanctacaris uncata","83","aluta? sp.","2"
"105","sanctacaris uncata","85","burgessia bella","2"
"105","sanctacaris uncata","86","canadaspis ovalis","2"
"105","sanctacaris uncata","87","canadaspis perfecta","2"
"105","sanctacaris uncata","89","emeraldella bocki","2"
"105","sanctacaris uncata","90","habelia brevicauda","2"
"105","sanctacaris uncata","91","habelia optata","2"
"105","sanctacaris uncata","92","helmetia expansa","2"
"105","sanctacaris uncata","96","leanchoilia superlata","2"
"105","sanctacaris uncata","98","molaria spinifera","2"
"105","sanctacaris uncata","100","naraoia compacta","2"
"105","sanctacaris uncata","101","odaraia alata","2"
"105","sanctacaris uncata","102","perspicaris dictynna","2"
"105","sanctacaris uncata","103","perspicaris recondita","2"
"105","sanctacaris uncata","105","sanctacaris uncata","2"
"105","sanctacaris uncata","107","sidneyia inexpectans","2"
"105","sanctacaris uncata","111","tuzoia burgessensis","2"
"105","sanctacaris uncata","112","tuzoia canadensis","2"
"105","sanctacaris uncata","113","tuzoia? parva","2"
"105","sanctacaris uncata","114","tuzoia praemorsa","2"
"105","sanctacaris uncata","115","tuzoia retifera","2"
"105","sanctacaris uncata","116","waptia fieldensis","2"
"105","sanctacaris uncata","117","yohoia tenuis","2"
"105","sanctacaris uncata","118","chancia palliseri","2"
"105","sanctacaris uncata","119","ehmaniella burgessensis","2"
"105","sanctacaris uncata","120","ehmaniella waptaensis","2"
"105","sanctacaris uncata","121","elrathia permulta","2"
"105","sanctacaris uncata","122","elrathina brevifrons","2"
"105","sanctacaris uncata","123","elrathina crodillerae","2"
"105","sanctacaris uncata","126","olenoides serratus","2"
"105","sanctacaris uncata","127","oryctocephalus burgessensis","2"
"105","sanctacaris uncata","128","oryctocephalus matthewi","2"
"105","sanctacaris uncata","129","oryctoecphalus reynoldsi","2"
"105","sanctacaris uncata","130","pagetia bootes","2"
"105","sanctacaris uncata","131","parkaspis decamera","2"
"105","sanctacaris uncata","132","peronopsis montis","2"
"105","sanctacaris uncata","133","ptychagnostus praecurrens","2"
"105","sanctacaris uncata","138","hurdia dentata","2"
"105","sanctacaris uncata","139","hurdia triangulata","2"
"105","sanctacaris uncata","142","ancalagon minor","2"
"105","sanctacaris uncata","143","fieldia lanceolata","2"
"105","sanctacaris uncata","146","selkirkia columbia","2"
"105","sanctacaris uncata","147","eldonia ludwigi","2"
"105","sanctacaris uncata","148","echmatocrinus brachiatus","2"
"105","sanctacaris uncata","149","gogia radiata","2"
"105","sanctacaris uncata","150","walcottidiscus magister","2"
"105","sanctacaris uncata","151","walcottidiscus typicalis","2"
"105","sanctacaris uncata","153","""ottoia"" tenuis","2"
"105","sanctacaris uncata","162","oesia disjuncta","2"
"105","sanctacaris uncata","166","portalia mira","2"
"107","sidneyia inexpectans","65","haplophrentis carinatus","2"
"107","sidneyia inexpectans","66","scenella amii","2"
"107","sidneyia inexpectans","67","burgessochaeta setigera","2"
"107","sidneyia inexpectans","68","canadia spinosa","2"
"107","sidneyia inexpectans","70","peronochaeta dubia","2"
"107","sidneyia inexpectans","71","stephanoscolex argutus","2"
