"con_number","consumer_sp","res_number","resource_sp","certainty"
"61","jinagfengia multisegmentalis","61","jinagfengia multisegmentalis","1"
"61","jinagfengia multisegmentalis","63","kuamaia lata","2"
"61","jinagfengia multisegmentalis","67","leanchoilia illecebrosa*","2"
"61","jinagfengia multisegmentalis","69","naraoia longicaudata","1"
"61","jinagfengia multisegmentalis","70","naraoia sponosa","1"
"61","jinagfengia multisegmentalis","72","odaraia? eurypetala*","1"
"61","jinagfengia multisegmentalis","75","pisinnocaris subconigera*","1"
"61","jinagfengia multisegmentalis","79","retifacis abnormalis*","2"
"61","jinagfengia multisegmentalis","81","saperion glumaceum","2"
"61","jinagfengia multisegmentalis","82","sidneyia sinica","2"
"61","jinagfengia multisegmentalis","91","waptia ovata","1"
"61","jinagfengia multisegmentalis","95","yunaannocaris megista","1"
"61","jinagfengia multisegmentalis","96","eoredlichia intermedia","3"
"61","jinagfengia multisegmentalis","97","kuanyangia pusulosa","3"
"61","jinagfengia multisegmentalis","98","yunnanocephalus yunnanensis","3"
"61","jinagfengia multisegmentalis","103","haikoucaris ercaiensis","1"
"63","kuamaia lata","45","brachiocaris? yunnanensis","1"
"63","kuamaia lata","46","canadaspis laevigata*","1"
"63","kuamaia lata","47","chengjiangocaris longiformis","2"
"63","kuamaia lata","56","fortiforceps foliosa","1"
"63","kuamaia lata","57","fuxianhuia protensa","2"
"63","kuamaia lata","61","jinagfengia multisegmentalis","1"
"63","kuamaia lata","63","kuamaia lata","2"
"63","kuamaia lata","67","leanchoilia illecebrosa*","2"
"63","kuamaia lata","69","naraoia longicaudata","1"
"63","kuamaia lata","70","naraoia sponosa","1"
"63","kuamaia lata","72","odaraia? eurypetala*","1"
"63","kuamaia lata","75","pisinnocaris subconigera*","1"
"63","kuamaia lata","79","retifacis abnormalis*","2"
"63","kuamaia lata","81","saperion glumaceum","2"
"63","kuamaia lata","82","sidneyia sinica","2"
"63","kuamaia lata","91","waptia ovata","1"
"63","kuamaia lata","95","yunaannocaris megista","1"
"63","kuamaia lata","103","haikoucaris ercaiensis","1"
"65","kunmingella douvillei","45","brachiocaris? yunnanensis","1"
"65","kunmingella douvillei","46","canadaspis laevigata*","1"
"65","kunmingella douvillei","47","chengjiangocaris longiformis","2"
"65","kunmingella douvillei","56","fortiforceps foliosa","1"
"65","kunmingella douvillei","57","fuxianhuia protensa","2"
"65","kunmingella douvillei","61","jinagfengia multisegmentalis","1"
"65","kunmingella douvillei","63","kuamaia lata","2"
"65","kunmingella douvillei","67","leanchoilia illecebrosa*","2"
"65","kunmingella douvillei","69","naraoia longicaudata","1"
"65","kunmingella douvillei","70","naraoia sponosa","1"
"65","kunmingella douvillei","72","odaraia? eurypetala*","1"
"65","kunmingella douvillei","75","pisinnocaris subconigera*","1"
"65","kunmingella douvillei","79","retifacis abnormalis*","2"
"65","kunmingella douvillei","81","saperion glumaceum","2"
"65","kunmingella douvillei","82","sidneyia sinica","2"
"65","kunmingella douvillei","91","waptia ovata","1"
"65","kunmingella douvillei","95","yunaannocaris megista","1"
"65","kunmingella douvillei","96","eoredlichia intermedia","3"
"65","kunmingella douvillei","97","kuanyangia pusulosa","3"
"65","kunmingella douvillei","98","yunnanocephalus yunnanensis","3"
"65","kunmingella douvillei","103","haikoucaris ercaiensis","1"
"67","leanchoilia illecebrosa*","45","brachiocaris? yunnanensis","1"
"67","leanchoilia illecebrosa*","46","canadaspis laevigata*","1"
"67","leanchoilia illecebrosa*","47","chengjiangocaris longiformis","2"
"67","leanchoilia illecebrosa*","56","fortiforceps foliosa","1"
"67","leanchoilia illecebrosa*","57","fuxianhuia protensa","2"
"67","leanchoilia illecebrosa*","61","jinagfengia multisegmentalis","1"
"67","leanchoilia illecebrosa*","63","kuamaia lata","2"
"67","leanchoilia illecebrosa*","67","leanchoilia illecebrosa*","2"
"67","leanchoilia illecebrosa*","69","naraoia longicaudata","1"
"67","leanchoilia illecebrosa*","70","naraoia sponosa","1"
"67","leanchoilia illecebrosa*","72","odaraia? eurypetala*","1"
"67","leanchoilia illecebrosa*","75","pisinnocaris subconigera*","1"
"67","leanchoilia illecebrosa*","79","retifacis abnormalis*","2"
"67","leanchoilia illecebrosa*","81","saperion glumaceum","2"
"67","leanchoilia illecebrosa*","82","sidneyia sinica","2"
"67","leanchoilia illecebrosa*","91","waptia ovata","1"
"67","leanchoilia illecebrosa*","95","yunaannocaris megista","1"
"67","leanchoilia illecebrosa*","103","haikoucaris ercaiensis","1"
"69","naraoia longicaudata","45","brachiocaris? yunnanensis","1"
"69","naraoia longicaudata","46","canadaspis laevigata*","1"
"69","naraoia longicaudata","47","chengjiangocaris longiformis","2"
"69","naraoia longicaudata","56","fortiforceps foliosa","1"
"69","naraoia longicaudata","57","fuxianhuia protensa","2"
"69","naraoia longicaudata","61","jinagfengia multisegmentalis","1"
"69","naraoia longicaudata","63","kuamaia lata","2"
"69","naraoia longicaudata","67","leanchoilia illecebrosa*","2"
"69","naraoia longicaudata","69","naraoia longicaudata","1"
"69","naraoia longicaudata","70","naraoia sponosa","1"
"69","naraoia longicaudata","72","odaraia? eurypetala*","1"
"69","naraoia longicaudata","75","pisinnocaris subconigera*","1"
"69","naraoia longicaudata","79","retifacis abnormalis*","2"
"69","naraoia longicaudata","81","saperion glumaceum","2"
"69","naraoia longicaudata","82","sidneyia sinica","2"
"69","naraoia longicaudata","91","waptia ovata","1"
"69","naraoia longicaudata","95","yunaannocaris megista","1"
"69","naraoia longicaudata","96","eoredlichia intermedia","3"
"69","naraoia longicaudata","97","kuanyangia pusulosa","3"
"69","naraoia longicaudata","98","yunnanocephalus yunnanensis","3"
"69","naraoia longicaudata","103","haikoucaris ercaiensis","1"
"70","naraoia sponosa","45","brachiocaris? yunnanensis","1"
"70","naraoia sponosa","46","canadaspis laevigata*","1"
"70","naraoia sponosa","47","chengjiangocaris longiformis","2"
"70","naraoia sponosa","56","fortiforceps foliosa","1"
"70","naraoia sponosa","57","fuxianhuia protensa","2"
"70","naraoia sponosa","61","jinagfengia multisegmentalis","1"
"70","naraoia sponosa","63","kuamaia lata","2"
"70","naraoia sponosa","67","leanchoilia illecebrosa*","2"
"70","naraoia sponosa","69","naraoia longicaudata","1"
"70","naraoia sponosa","70","naraoia sponosa","1"
"70","naraoia sponosa","72","odaraia? eurypetala*","1"
"70","naraoia sponosa","75","pisinnocaris subconigera*","1"
"70","naraoia sponosa","79","retifacis abnormalis*","2"
"70","naraoia sponosa","81","saperion glumaceum","2"
"70","naraoia sponosa","82","sidneyia sinica","2"
"70","naraoia sponosa","91","waptia ovata","1"
"70","naraoia sponosa","95","yunaannocaris megista","1"
"70","naraoia sponosa","96","eoredlichia intermedia","3"
"70","naraoia sponosa","97","kuanyangia pusulosa","3"
"70","naraoia sponosa","98","yunnanocephalus yunnanensis","3"
"70","naraoia sponosa","103","haikoucaris ercaiensis","1"
"72","odaraia? eurypetala*","45","brachiocaris? yunnanensis","1"
"72","odaraia? eurypetala*","46","canadaspis laevigata*","1"
"72","odaraia? eurypetala*","47","chengjiangocaris longiformis","2"
"72","odaraia? eurypetala*","56","fortiforceps foliosa","1"
"72","odaraia? eurypetala*","57","fuxianhuia protensa","2"
"72","odaraia? eurypetala*","61","jinagfengia multisegmentalis","1"
"72","odaraia? eurypetala*","63","kuamaia lata","2"
"72","odaraia? eurypetala*","67","leanchoilia illecebrosa*","2"
"72","odaraia? eurypetala*","69","naraoia longicaudata","1"
"72","odaraia? eurypetala*","70","naraoia sponosa","1"
"72","odaraia? eurypetala*","72","odaraia? eurypetala*","1"
"72","odaraia? eurypetala*","75","pisinnocaris subconigera*","1"
"72","odaraia? eurypetala*","79","retifacis abnormalis*","2"
"72","odaraia? eurypetala*","81","saperion glumaceum","2"
"72","odaraia? eurypetala*","82","sidneyia sinica","2"
"72","odaraia? eurypetala*","91","waptia ovata","1"
"72","odaraia? eurypetala*","95","yunaannocaris megista","1"
"72","odaraia? eurypetala*","96","eoredlichia intermedia","3"
"72","odaraia? eurypetala*","97","kuanyangia pusulosa","3"
"72","odaraia? eurypetala*","98","yunnanocephalus yunnanensis","3"
"72","odaraia? eurypetala*","103","haikoucaris ercaiensis","1"
"75","pisinnocaris subconigera*","45","brachiocaris? yunnanensis","1"
"75","pisinnocaris subconigera*","46","canadaspis laevigata*","1"
"75","pisinnocaris subconigera*","47","chengjiangocaris longiformis","2"
"75","pisinnocaris subconigera*","56","fortiforceps foliosa","1"
"75","pisinnocaris subconigera*","57","fuxianhuia protensa","2"
"75","pisinnocaris subconigera*","61","jinagfengia multisegmentalis","1"
"75","pisinnocaris subconigera*","63","kuamaia lata","2"
"75","pisinnocaris subconigera*","67","leanchoilia illecebrosa*","2"
"75","pisinnocaris subconigera*","69","naraoia longicaudata","1"
"75","pisinnocaris subconigera*","70","naraoia sponosa","1"
"75","pisinnocaris subconigera*","72","odaraia? eurypetala*","1"
"75","pisinnocaris subconigera*","75","pisinnocaris subconigera*","1"
